Subject,Predicate,Object
Ticket_1399,HAS_PRIORITY,low
Ticket_1399,SUBMITTED_VIA,email
Ticket_1399,HAS_STATUS,open
Ticket_1399,IS_TYPE,cancellation request
google pixel,RAISED,Ticket_1399
Ticket_1400,HAS_PRIORITY,medium
Ticket_1400,SUBMITTED_VIA,phone
Ticket_1400,HAS_STATUS,closed
Ticket_1400,IS_TYPE,refund request
nikon d,RAISED,Ticket_1400
playstation,HAS_ISSUE,account access
Ticket_1401,HAS_PRIORITY,critical
Ticket_1401,SUBMITTED_VIA,chat
Ticket_1401,HAS_STATUS,open
Ticket_1401,IS_TYPE,cancellation request
playstation,RAISED,Ticket_1401
Ticket_1402,HAS_PRIORITY,high
Ticket_1402,SUBMITTED_VIA,email
Ticket_1402,HAS_STATUS,pending customer response
Ticket_1402,IS_TYPE,refund request
nintendo switch pro controller,RAISED,Ticket_1402
Ticket_1403,HAS_PRIORITY,medium
Ticket_1403,SUBMITTED_VIA,phone
Ticket_1403,HAS_STATUS,open
Ticket_1403,IS_TYPE,technical issue
samsung soundbar,RAISED,Ticket_1403
adobe photoshop,HAS_ISSUE,product recommendation
Ticket_1404,HAS_PRIORITY,low
Ticket_1404,SUBMITTED_VIA,chat
Ticket_1404,HAS_STATUS,open
Ticket_1404,IS_TYPE,refund request
adobe photoshop,RAISED,Ticket_1404
Ticket_1405,HAS_PRIORITY,critical
Ticket_1405,SUBMITTED_VIA,social media
Ticket_1405,HAS_STATUS,open
Ticket_1405,IS_TYPE,product inquiry
lg smart tv,RAISED,Ticket_1405
Ticket_1406,HAS_PRIORITY,medium
Ticket_1406,SUBMITTED_VIA,email
Ticket_1406,HAS_STATUS,closed
Ticket_1406,IS_TYPE,billing inquiry
philips hue lights,RAISED,Ticket_1406
Ticket_1407,HAS_PRIORITY,critical
Ticket_1407,SUBMITTED_VIA,email
Ticket_1407,HAS_STATUS,open
Ticket_1407,IS_TYPE,refund request
roomba robot vacuum,RAISED,Ticket_1407
Ticket_1408,HAS_PRIORITY,critical
Ticket_1408,SUBMITTED_VIA,social media
Ticket_1408,HAS_STATUS,pending customer response
Ticket_1408,IS_TYPE,billing inquiry
iphone,RAISED,Ticket_1408
Ticket_1409,HAS_PRIORITY,high
Ticket_1409,SUBMITTED_VIA,social media
Ticket_1409,HAS_STATUS,pending customer response
Ticket_1409,IS_TYPE,refund request
xbox,RAISED,Ticket_1409
Ticket_1410,HAS_PRIORITY,low
Ticket_1410,SUBMITTED_VIA,chat
Ticket_1410,HAS_STATUS,open
Ticket_1410,IS_TYPE,technical issue
amazon kindle,RAISED,Ticket_1410
Ticket_1411,HAS_PRIORITY,low
Ticket_1411,SUBMITTED_VIA,phone
Ticket_1411,HAS_STATUS,open
Ticket_1411,IS_TYPE,technical issue
microsoft xbox controller,RAISED,Ticket_1411
Ticket_1412,HAS_PRIORITY,critical
Ticket_1412,SUBMITTED_VIA,phone
Ticket_1412,HAS_STATUS,closed
Ticket_1412,IS_TYPE,billing inquiry
nest thermostat,RAISED,Ticket_1412
Ticket_1413,HAS_PRIORITY,medium
Ticket_1413,SUBMITTED_VIA,phone
Ticket_1413,HAS_STATUS,pending customer response
Ticket_1413,IS_TYPE,cancellation request
lg smart tv,RAISED,Ticket_1413
Ticket_1414,HAS_PRIORITY,critical
Ticket_1414,SUBMITTED_VIA,phone
Ticket_1414,HAS_STATUS,open
Ticket_1414,IS_TYPE,billing inquiry
microsoft xbox controller,RAISED,Ticket_1414
Ticket_1415,HAS_PRIORITY,high
Ticket_1415,SUBMITTED_VIA,social media
Ticket_1415,HAS_STATUS,pending customer response
Ticket_1415,IS_TYPE,cancellation request
gopro hero,RAISED,Ticket_1415
Ticket_1416,HAS_PRIORITY,low
Ticket_1416,SUBMITTED_VIA,chat
Ticket_1416,HAS_STATUS,open
Ticket_1416,IS_TYPE,billing inquiry
microsoft office,RAISED,Ticket_1416
Ticket_1417,HAS_PRIORITY,medium
Ticket_1417,SUBMITTED_VIA,email
Ticket_1417,HAS_STATUS,closed
Ticket_1417,IS_TYPE,technical issue
microsoft xbox controller,RAISED,Ticket_1417
Ticket_1418,HAS_PRIORITY,high
Ticket_1418,SUBMITTED_VIA,email
Ticket_1418,HAS_STATUS,closed
Ticket_1418,IS_TYPE,cancellation request
microsoft xbox controller,RAISED,Ticket_1418
Ticket_1419,HAS_PRIORITY,medium
Ticket_1419,SUBMITTED_VIA,social media
Ticket_1419,HAS_STATUS,pending customer response
Ticket_1419,IS_TYPE,cancellation request
nikon d,RAISED,Ticket_1419
Ticket_1420,HAS_PRIORITY,medium
Ticket_1420,SUBMITTED_VIA,phone
Ticket_1420,HAS_STATUS,open
Ticket_1420,IS_TYPE,cancellation request
microsoft xbox controller,RAISED,Ticket_1420
Ticket_1421,HAS_PRIORITY,low
Ticket_1421,SUBMITTED_VIA,phone
Ticket_1421,HAS_STATUS,pending customer response
Ticket_1421,IS_TYPE,billing inquiry
asus rog,RAISED,Ticket_1421
Ticket_1422,HAS_PRIORITY,low
Ticket_1422,SUBMITTED_VIA,social media
Ticket_1422,HAS_STATUS,open
Ticket_1422,IS_TYPE,refund request
macbook pro,RAISED,Ticket_1422
Ticket_1423,HAS_PRIORITY,critical
Ticket_1423,SUBMITTED_VIA,social media
Ticket_1423,HAS_STATUS,pending customer response
Ticket_1423,IS_TYPE,product inquiry
nikon d,RAISED,Ticket_1423
asus rog,HAS_ISSUE,installation support
Ticket_1424,HAS_PRIORITY,high
Ticket_1424,SUBMITTED_VIA,social media
Ticket_1424,HAS_STATUS,open
Ticket_1424,IS_TYPE,refund request
asus rog,RAISED,Ticket_1424
Ticket_1425,HAS_PRIORITY,high
Ticket_1425,SUBMITTED_VIA,social media
Ticket_1425,HAS_STATUS,pending customer response
Ticket_1425,IS_TYPE,technical issue
bose quietcomfort,RAISED,Ticket_1425
Ticket_1426,HAS_PRIORITY,low
Ticket_1426,SUBMITTED_VIA,chat
Ticket_1426,HAS_STATUS,open
Ticket_1426,IS_TYPE,cancellation request
sony playstation,RAISED,Ticket_1426
Ticket_1427,HAS_PRIORITY,critical
Ticket_1427,SUBMITTED_VIA,social media
Ticket_1427,HAS_STATUS,closed
Ticket_1427,IS_TYPE,technical issue
apple airpods,RAISED,Ticket_1427
Ticket_1428,HAS_PRIORITY,high
Ticket_1428,SUBMITTED_VIA,email
Ticket_1428,HAS_STATUS,closed
Ticket_1428,IS_TYPE,technical issue
philips hue lights,RAISED,Ticket_1428
Ticket_1429,HAS_PRIORITY,medium
Ticket_1429,SUBMITTED_VIA,chat
Ticket_1429,HAS_STATUS,open
Ticket_1429,IS_TYPE,technical issue
samsung galaxy,RAISED,Ticket_1429
Ticket_1430,HAS_PRIORITY,medium
Ticket_1430,SUBMITTED_VIA,phone
Ticket_1430,HAS_STATUS,pending customer response
Ticket_1430,IS_TYPE,billing inquiry
gopro hero,RAISED,Ticket_1430
Ticket_1431,HAS_PRIORITY,critical
Ticket_1431,SUBMITTED_VIA,email
Ticket_1431,HAS_STATUS,open
Ticket_1431,IS_TYPE,billing inquiry
gopro hero,RAISED,Ticket_1431
Ticket_1432,HAS_PRIORITY,medium
Ticket_1432,SUBMITTED_VIA,email
Ticket_1432,HAS_STATUS,open
Ticket_1432,IS_TYPE,refund request
canon eos,RAISED,Ticket_1432
Ticket_1433,HAS_PRIORITY,low
Ticket_1433,SUBMITTED_VIA,phone
Ticket_1433,HAS_STATUS,closed
Ticket_1433,IS_TYPE,billing inquiry
iphone,RAISED,Ticket_1433
Ticket_1434,HAS_PRIORITY,low
Ticket_1434,SUBMITTED_VIA,email
Ticket_1434,HAS_STATUS,closed
Ticket_1434,IS_TYPE,refund request
bose soundlink speaker,RAISED,Ticket_1434
Ticket_1435,HAS_PRIORITY,medium
Ticket_1435,SUBMITTED_VIA,email
Ticket_1435,HAS_STATUS,closed
Ticket_1435,IS_TYPE,billing inquiry
nest thermostat,RAISED,Ticket_1435
Ticket_1436,HAS_PRIORITY,medium
Ticket_1436,SUBMITTED_VIA,email
Ticket_1436,HAS_STATUS,pending customer response
Ticket_1436,IS_TYPE,refund request
sony xperia,RAISED,Ticket_1436
Ticket_1437,HAS_PRIORITY,low
Ticket_1437,SUBMITTED_VIA,social media
Ticket_1437,HAS_STATUS,pending customer response
Ticket_1437,IS_TYPE,billing inquiry
lg oled,RAISED,Ticket_1437
Ticket_1438,HAS_PRIORITY,critical
Ticket_1438,SUBMITTED_VIA,email
Ticket_1438,HAS_STATUS,pending customer response
Ticket_1438,IS_TYPE,refund request
bose soundlink speaker,RAISED,Ticket_1438
Ticket_1439,HAS_PRIORITY,low
Ticket_1439,SUBMITTED_VIA,phone
Ticket_1439,HAS_STATUS,open
Ticket_1439,IS_TYPE,cancellation request
canon eos,RAISED,Ticket_1439
Ticket_1440,HAS_PRIORITY,critical
Ticket_1440,SUBMITTED_VIA,phone
Ticket_1440,HAS_STATUS,open
Ticket_1440,IS_TYPE,product inquiry
amazon kindle,RAISED,Ticket_1440
Ticket_1441,HAS_PRIORITY,low
Ticket_1441,SUBMITTED_VIA,phone
Ticket_1441,HAS_STATUS,open
Ticket_1441,IS_TYPE,billing inquiry
sony 4k hdr tv,RAISED,Ticket_1441
Ticket_1442,HAS_PRIORITY,high
Ticket_1442,SUBMITTED_VIA,email
Ticket_1442,HAS_STATUS,open
Ticket_1442,IS_TYPE,product inquiry
nintendo switch pro controller,RAISED,Ticket_1442
xbox,HAS_ISSUE,refund request
Ticket_1443,HAS_PRIORITY,low
Ticket_1443,SUBMITTED_VIA,social media
Ticket_1443,HAS_STATUS,pending customer response
Ticket_1443,IS_TYPE,product inquiry
xbox,RAISED,Ticket_1443
Ticket_1444,HAS_PRIORITY,critical
Ticket_1444,SUBMITTED_VIA,chat
Ticket_1444,HAS_STATUS,closed
Ticket_1444,IS_TYPE,technical issue
google pixel,RAISED,Ticket_1444
Ticket_1445,HAS_PRIORITY,low
Ticket_1445,SUBMITTED_VIA,social media
Ticket_1445,HAS_STATUS,closed
Ticket_1445,IS_TYPE,refund request
lg smart tv,RAISED,Ticket_1445
Ticket_1446,HAS_PRIORITY,high
Ticket_1446,SUBMITTED_VIA,social media
Ticket_1446,HAS_STATUS,pending customer response
Ticket_1446,IS_TYPE,billing inquiry
amazon kindle,RAISED,Ticket_1446
Ticket_1447,HAS_PRIORITY,high
Ticket_1447,SUBMITTED_VIA,chat
Ticket_1447,HAS_STATUS,open
Ticket_1447,IS_TYPE,billing inquiry
canon dslr camera,RAISED,Ticket_1447
Ticket_1448,HAS_PRIORITY,high
Ticket_1448,SUBMITTED_VIA,social media
Ticket_1448,HAS_STATUS,open
Ticket_1448,IS_TYPE,refund request
canon eos,RAISED,Ticket_1448
Ticket_1449,HAS_PRIORITY,medium
Ticket_1449,SUBMITTED_VIA,social media
Ticket_1449,HAS_STATUS,pending customer response
Ticket_1449,IS_TYPE,billing inquiry
lg oled,RAISED,Ticket_1449
Ticket_1450,HAS_PRIORITY,medium
Ticket_1450,SUBMITTED_VIA,chat
Ticket_1450,HAS_STATUS,pending customer response
Ticket_1450,IS_TYPE,product inquiry
google nest,RAISED,Ticket_1450
Ticket_1451,HAS_PRIORITY,high
Ticket_1451,SUBMITTED_VIA,email
Ticket_1451,HAS_STATUS,closed
Ticket_1451,IS_TYPE,cancellation request
canon dslr camera,RAISED,Ticket_1451
Ticket_1452,HAS_PRIORITY,critical
Ticket_1452,SUBMITTED_VIA,chat
Ticket_1452,HAS_STATUS,pending customer response
Ticket_1452,IS_TYPE,billing inquiry
gopro action camera,RAISED,Ticket_1452
Ticket_1453,HAS_PRIORITY,critical
Ticket_1453,SUBMITTED_VIA,social media
Ticket_1453,HAS_STATUS,closed
Ticket_1453,IS_TYPE,cancellation request
dyson vacuum cleaner,RAISED,Ticket_1453
Ticket_1454,HAS_PRIORITY,critical
Ticket_1454,SUBMITTED_VIA,social media
Ticket_1454,HAS_STATUS,open
Ticket_1454,IS_TYPE,billing inquiry
garmin forerunner,RAISED,Ticket_1454
Ticket_1455,HAS_PRIORITY,medium
Ticket_1455,SUBMITTED_VIA,phone
Ticket_1455,HAS_STATUS,pending customer response
Ticket_1455,IS_TYPE,refund request
iphone,RAISED,Ticket_1455
Ticket_1456,HAS_PRIORITY,medium
Ticket_1456,SUBMITTED_VIA,social media
Ticket_1456,HAS_STATUS,open
Ticket_1456,IS_TYPE,cancellation request
philips hue lights,RAISED,Ticket_1456
Ticket_1457,HAS_PRIORITY,high
Ticket_1457,SUBMITTED_VIA,social media
Ticket_1457,HAS_STATUS,closed
Ticket_1457,IS_TYPE,billing inquiry
dyson vacuum cleaner,RAISED,Ticket_1457
Ticket_1458,HAS_PRIORITY,low
Ticket_1458,SUBMITTED_VIA,phone
Ticket_1458,HAS_STATUS,closed
Ticket_1458,IS_TYPE,refund request
lg smart tv,RAISED,Ticket_1458
Ticket_1459,HAS_PRIORITY,critical
Ticket_1459,SUBMITTED_VIA,phone
Ticket_1459,HAS_STATUS,pending customer response
Ticket_1459,IS_TYPE,billing inquiry
gopro action camera,RAISED,Ticket_1459
Ticket_1460,HAS_PRIORITY,low
Ticket_1460,SUBMITTED_VIA,email
Ticket_1460,HAS_STATUS,open
Ticket_1460,IS_TYPE,product inquiry
amazon kindle,RAISED,Ticket_1460
Ticket_1461,HAS_PRIORITY,low
Ticket_1461,SUBMITTED_VIA,chat
Ticket_1461,HAS_STATUS,pending customer response
Ticket_1461,IS_TYPE,billing inquiry
sony playstation,RAISED,Ticket_1461
sony 4k hdr tv,HAS_ISSUE,payment issue
Ticket_1462,HAS_PRIORITY,high
Ticket_1462,SUBMITTED_VIA,email
Ticket_1462,HAS_STATUS,open
Ticket_1462,IS_TYPE,billing inquiry
sony 4k hdr tv,RAISED,Ticket_1462
Ticket_1463,HAS_PRIORITY,high
Ticket_1463,SUBMITTED_VIA,chat
Ticket_1463,HAS_STATUS,pending customer response
Ticket_1463,IS_TYPE,cancellation request
xbox,RAISED,Ticket_1463
Ticket_1464,HAS_PRIORITY,critical
Ticket_1464,SUBMITTED_VIA,chat
Ticket_1464,HAS_STATUS,pending customer response
Ticket_1464,IS_TYPE,product inquiry
google pixel,RAISED,Ticket_1464
Ticket_1465,HAS_PRIORITY,critical
Ticket_1465,SUBMITTED_VIA,social media
Ticket_1465,HAS_STATUS,open
Ticket_1465,IS_TYPE,refund request
google pixel,RAISED,Ticket_1465
Ticket_1466,HAS_PRIORITY,medium
Ticket_1466,SUBMITTED_VIA,social media
Ticket_1466,HAS_STATUS,closed
Ticket_1466,IS_TYPE,refund request
google pixel,RAISED,Ticket_1466
Ticket_1467,HAS_PRIORITY,critical
Ticket_1467,SUBMITTED_VIA,social media
Ticket_1467,HAS_STATUS,pending customer response
Ticket_1467,IS_TYPE,refund request
gopro hero,RAISED,Ticket_1467
Ticket_1468,HAS_PRIORITY,medium
Ticket_1468,SUBMITTED_VIA,phone
Ticket_1468,HAS_STATUS,closed
Ticket_1468,IS_TYPE,product inquiry
playstation,RAISED,Ticket_1468
Ticket_1469,HAS_PRIORITY,critical
Ticket_1469,SUBMITTED_VIA,social media
Ticket_1469,HAS_STATUS,closed
Ticket_1469,IS_TYPE,technical issue
bose quietcomfort,RAISED,Ticket_1469
bose quietcomfort,HAS_ISSUE,installation support
Ticket_1470,HAS_PRIORITY,high
Ticket_1470,SUBMITTED_VIA,phone
Ticket_1470,HAS_STATUS,pending customer response
Ticket_1470,IS_TYPE,refund request
bose quietcomfort,RAISED,Ticket_1470
nest thermostat,HAS_ISSUE,peripheral compatibility
Ticket_1471,HAS_PRIORITY,low
Ticket_1471,SUBMITTED_VIA,social media
Ticket_1471,HAS_STATUS,open
Ticket_1471,IS_TYPE,refund request
nest thermostat,RAISED,Ticket_1471
Ticket_1472,HAS_PRIORITY,low
Ticket_1472,SUBMITTED_VIA,email
Ticket_1472,HAS_STATUS,pending customer response
Ticket_1472,IS_TYPE,cancellation request
lg oled,RAISED,Ticket_1472
Ticket_1473,HAS_PRIORITY,medium
Ticket_1473,SUBMITTED_VIA,phone
Ticket_1473,HAS_STATUS,open
Ticket_1473,IS_TYPE,refund request
garmin forerunner,RAISED,Ticket_1473
Ticket_1474,HAS_PRIORITY,critical
Ticket_1474,SUBMITTED_VIA,email
Ticket_1474,HAS_STATUS,open
Ticket_1474,IS_TYPE,technical issue
apple airpods,RAISED,Ticket_1474
Ticket_1475,HAS_PRIORITY,high
Ticket_1475,SUBMITTED_VIA,social media
Ticket_1475,HAS_STATUS,pending customer response
Ticket_1475,IS_TYPE,refund request
iphone,RAISED,Ticket_1475
fitbit versa smartwatch,HAS_ISSUE,peripheral compatibility
Ticket_1476,HAS_PRIORITY,critical
Ticket_1476,SUBMITTED_VIA,chat
Ticket_1476,HAS_STATUS,pending customer response
Ticket_1476,IS_TYPE,technical issue
fitbit versa smartwatch,RAISED,Ticket_1476
Ticket_1477,HAS_PRIORITY,high
Ticket_1477,SUBMITTED_VIA,chat
Ticket_1477,HAS_STATUS,pending customer response
Ticket_1477,IS_TYPE,technical issue
roomba robot vacuum,RAISED,Ticket_1477
Ticket_1478,HAS_PRIORITY,critical
Ticket_1478,SUBMITTED_VIA,chat
Ticket_1478,HAS_STATUS,open
Ticket_1478,IS_TYPE,cancellation request
gopro action camera,RAISED,Ticket_1478
Ticket_1479,HAS_PRIORITY,medium
Ticket_1479,SUBMITTED_VIA,email
Ticket_1479,HAS_STATUS,pending customer response
Ticket_1479,IS_TYPE,refund request
microsoft surface,RAISED,Ticket_1479
Ticket_1480,HAS_PRIORITY,high
Ticket_1480,SUBMITTED_VIA,chat
Ticket_1480,HAS_STATUS,pending customer response
Ticket_1480,IS_TYPE,technical issue
garmin forerunner,RAISED,Ticket_1480
Ticket_1481,HAS_PRIORITY,medium
Ticket_1481,SUBMITTED_VIA,chat
Ticket_1481,HAS_STATUS,closed
Ticket_1481,IS_TYPE,cancellation request
dyson vacuum cleaner,RAISED,Ticket_1481
Ticket_1482,HAS_PRIORITY,medium
Ticket_1482,SUBMITTED_VIA,email
Ticket_1482,HAS_STATUS,closed
Ticket_1482,IS_TYPE,cancellation request
lg smart tv,RAISED,Ticket_1482
Ticket_1483,HAS_PRIORITY,medium
Ticket_1483,SUBMITTED_VIA,chat
Ticket_1483,HAS_STATUS,pending customer response
Ticket_1483,IS_TYPE,product inquiry
fitbit charge,RAISED,Ticket_1483
Ticket_1484,HAS_PRIORITY,critical
Ticket_1484,SUBMITTED_VIA,email
Ticket_1484,HAS_STATUS,closed
Ticket_1484,IS_TYPE,refund request
google nest,RAISED,Ticket_1484
Ticket_1485,HAS_PRIORITY,low
Ticket_1485,SUBMITTED_VIA,social media
Ticket_1485,HAS_STATUS,pending customer response
Ticket_1485,IS_TYPE,cancellation request
xbox,RAISED,Ticket_1485
Ticket_1486,HAS_PRIORITY,low
Ticket_1486,SUBMITTED_VIA,email
Ticket_1486,HAS_STATUS,pending customer response
Ticket_1486,IS_TYPE,product inquiry
gopro action camera,RAISED,Ticket_1486
apple airpods,HAS_ISSUE,peripheral compatibility
Ticket_1487,HAS_PRIORITY,high
Ticket_1487,SUBMITTED_VIA,phone
Ticket_1487,HAS_STATUS,closed
Ticket_1487,IS_TYPE,cancellation request
apple airpods,RAISED,Ticket_1487
Ticket_1488,HAS_PRIORITY,low
Ticket_1488,SUBMITTED_VIA,phone
Ticket_1488,HAS_STATUS,closed
Ticket_1488,IS_TYPE,product inquiry
sony playstation,RAISED,Ticket_1488
Ticket_1489,HAS_PRIORITY,medium
Ticket_1489,SUBMITTED_VIA,chat
Ticket_1489,HAS_STATUS,pending customer response
Ticket_1489,IS_TYPE,cancellation request
macbook pro,RAISED,Ticket_1489
Ticket_1490,HAS_PRIORITY,low
Ticket_1490,SUBMITTED_VIA,chat
Ticket_1490,HAS_STATUS,closed
Ticket_1490,IS_TYPE,technical issue
adobe photoshop,RAISED,Ticket_1490
Ticket_1491,HAS_PRIORITY,high
Ticket_1491,SUBMITTED_VIA,phone
Ticket_1491,HAS_STATUS,closed
Ticket_1491,IS_TYPE,refund request
lenovo thinkpad,RAISED,Ticket_1491
Ticket_1492,HAS_PRIORITY,critical
Ticket_1492,SUBMITTED_VIA,email
Ticket_1492,HAS_STATUS,closed
Ticket_1492,IS_TYPE,product inquiry
philips hue lights,RAISED,Ticket_1492
gopro hero,HAS_ISSUE,delivery problem
Ticket_1493,HAS_PRIORITY,medium
Ticket_1493,SUBMITTED_VIA,phone
Ticket_1493,HAS_STATUS,closed
Ticket_1493,IS_TYPE,refund request
gopro hero,RAISED,Ticket_1493
Ticket_1494,HAS_PRIORITY,low
Ticket_1494,SUBMITTED_VIA,social media
Ticket_1494,HAS_STATUS,closed
Ticket_1494,IS_TYPE,billing inquiry
dell xps,RAISED,Ticket_1494
Ticket_1495,HAS_PRIORITY,high
Ticket_1495,SUBMITTED_VIA,social media
Ticket_1495,HAS_STATUS,pending customer response
Ticket_1495,IS_TYPE,cancellation request
iphone,RAISED,Ticket_1495
Ticket_1496,HAS_PRIORITY,low
Ticket_1496,SUBMITTED_VIA,chat
Ticket_1496,HAS_STATUS,closed
Ticket_1496,IS_TYPE,cancellation request
sony 4k hdr tv,RAISED,Ticket_1496
Ticket_1497,HAS_PRIORITY,medium
Ticket_1497,SUBMITTED_VIA,phone
Ticket_1497,HAS_STATUS,open
Ticket_1497,IS_TYPE,refund request
google nest,RAISED,Ticket_1497
microsoft surface,HAS_ISSUE,cancellation request
Ticket_1498,HAS_PRIORITY,low
Ticket_1498,SUBMITTED_VIA,chat
Ticket_1498,HAS_STATUS,pending customer response
Ticket_1498,IS_TYPE,cancellation request
microsoft surface,RAISED,Ticket_1498
Ticket_1499,HAS_PRIORITY,high
Ticket_1499,SUBMITTED_VIA,email
Ticket_1499,HAS_STATUS,closed
Ticket_1499,IS_TYPE,product inquiry
autodesk autocad,RAISED,Ticket_1499
Ticket_1500,HAS_PRIORITY,critical
Ticket_1500,SUBMITTED_VIA,email
Ticket_1500,HAS_STATUS,pending customer response
Ticket_1500,IS_TYPE,billing inquiry
apple airpods,RAISED,Ticket_1500
Ticket_1501,HAS_PRIORITY,critical
Ticket_1501,SUBMITTED_VIA,social media
Ticket_1501,HAS_STATUS,open
Ticket_1501,IS_TYPE,cancellation request
fitbit charge,RAISED,Ticket_1501
Ticket_1502,HAS_PRIORITY,high
Ticket_1502,SUBMITTED_VIA,phone
Ticket_1502,HAS_STATUS,pending customer response
Ticket_1502,IS_TYPE,billing inquiry
bose quietcomfort,RAISED,Ticket_1502
Ticket_1503,HAS_PRIORITY,critical
Ticket_1503,SUBMITTED_VIA,social media
Ticket_1503,HAS_STATUS,pending customer response
Ticket_1503,IS_TYPE,refund request
xbox,RAISED,Ticket_1503
amazon kindle,HAS_ISSUE,delivery problem
Ticket_1504,HAS_PRIORITY,high
Ticket_1504,SUBMITTED_VIA,chat
Ticket_1504,HAS_STATUS,closed
Ticket_1504,IS_TYPE,technical issue
amazon kindle,RAISED,Ticket_1504
Ticket_1505,HAS_PRIORITY,critical
Ticket_1505,SUBMITTED_VIA,phone
Ticket_1505,HAS_STATUS,pending customer response
Ticket_1505,IS_TYPE,technical issue
macbook pro,RAISED,Ticket_1505
dell xps,HAS_ISSUE,peripheral compatibility
Ticket_1506,HAS_PRIORITY,medium
Ticket_1506,SUBMITTED_VIA,social media
Ticket_1506,HAS_STATUS,open
Ticket_1506,IS_TYPE,technical issue
dell xps,RAISED,Ticket_1506
Ticket_1507,HAS_PRIORITY,high
Ticket_1507,SUBMITTED_VIA,phone
Ticket_1507,HAS_STATUS,pending customer response
Ticket_1507,IS_TYPE,technical issue
playstation,RAISED,Ticket_1507
Ticket_1508,HAS_PRIORITY,medium
Ticket_1508,SUBMITTED_VIA,social media
Ticket_1508,HAS_STATUS,pending customer response
Ticket_1508,IS_TYPE,cancellation request
nikon d,RAISED,Ticket_1508
Ticket_1509,HAS_PRIORITY,low
Ticket_1509,SUBMITTED_VIA,chat
Ticket_1509,HAS_STATUS,pending customer response
Ticket_1509,IS_TYPE,product inquiry
dell xps,RAISED,Ticket_1509
Ticket_1510,HAS_PRIORITY,critical
Ticket_1510,SUBMITTED_VIA,phone
Ticket_1510,HAS_STATUS,open
Ticket_1510,IS_TYPE,product inquiry
canon dslr camera,RAISED,Ticket_1510
Ticket_1511,HAS_PRIORITY,medium
Ticket_1511,SUBMITTED_VIA,phone
Ticket_1511,HAS_STATUS,open
Ticket_1511,IS_TYPE,product inquiry
nintendo switch pro controller,RAISED,Ticket_1511
Ticket_1512,HAS_PRIORITY,medium
Ticket_1512,SUBMITTED_VIA,social media
Ticket_1512,HAS_STATUS,open
Ticket_1512,IS_TYPE,cancellation request
lg smart tv,RAISED,Ticket_1512
Ticket_1513,HAS_PRIORITY,low
Ticket_1513,SUBMITTED_VIA,phone
Ticket_1513,HAS_STATUS,pending customer response
Ticket_1513,IS_TYPE,cancellation request
dell xps,RAISED,Ticket_1513
Ticket_1514,HAS_PRIORITY,low
Ticket_1514,SUBMITTED_VIA,email
Ticket_1514,HAS_STATUS,closed
Ticket_1514,IS_TYPE,cancellation request
canon eos,RAISED,Ticket_1514
Ticket_1515,HAS_PRIORITY,low
Ticket_1515,SUBMITTED_VIA,email
Ticket_1515,HAS_STATUS,open
Ticket_1515,IS_TYPE,refund request
google pixel,RAISED,Ticket_1515
Ticket_1516,HAS_PRIORITY,critical
Ticket_1516,SUBMITTED_VIA,phone
Ticket_1516,HAS_STATUS,pending customer response
Ticket_1516,IS_TYPE,cancellation request
google pixel,RAISED,Ticket_1516
Ticket_1517,HAS_PRIORITY,high
Ticket_1517,SUBMITTED_VIA,social media
Ticket_1517,HAS_STATUS,open
Ticket_1517,IS_TYPE,product inquiry
samsung galaxy,RAISED,Ticket_1517
Ticket_1518,HAS_PRIORITY,high
Ticket_1518,SUBMITTED_VIA,phone
Ticket_1518,HAS_STATUS,pending customer response
Ticket_1518,IS_TYPE,refund request
philips hue lights,RAISED,Ticket_1518
Ticket_1519,HAS_PRIORITY,low
Ticket_1519,SUBMITTED_VIA,email
Ticket_1519,HAS_STATUS,open
Ticket_1519,IS_TYPE,billing inquiry
philips hue lights,RAISED,Ticket_1519
Ticket_1520,HAS_PRIORITY,high
Ticket_1520,SUBMITTED_VIA,email
Ticket_1520,HAS_STATUS,pending customer response
Ticket_1520,IS_TYPE,cancellation request
lg washing machine,RAISED,Ticket_1520
Ticket_1521,HAS_PRIORITY,high
Ticket_1521,SUBMITTED_VIA,chat
Ticket_1521,HAS_STATUS,open
Ticket_1521,IS_TYPE,technical issue
lg washing machine,RAISED,Ticket_1521
microsoft office,HAS_ISSUE,delivery problem
Ticket_1522,HAS_PRIORITY,high
Ticket_1522,SUBMITTED_VIA,email
Ticket_1522,HAS_STATUS,open
Ticket_1522,IS_TYPE,technical issue
microsoft office,RAISED,Ticket_1522
Ticket_1523,HAS_PRIORITY,critical
Ticket_1523,SUBMITTED_VIA,chat
Ticket_1523,HAS_STATUS,pending customer response
Ticket_1523,IS_TYPE,refund request
fitbit charge,RAISED,Ticket_1523
Ticket_1524,HAS_PRIORITY,critical
Ticket_1524,SUBMITTED_VIA,email
Ticket_1524,HAS_STATUS,closed
Ticket_1524,IS_TYPE,cancellation request
amazon echo,RAISED,Ticket_1524
Ticket_1525,HAS_PRIORITY,low
Ticket_1525,SUBMITTED_VIA,email
Ticket_1525,HAS_STATUS,pending customer response
Ticket_1525,IS_TYPE,cancellation request
xbox,RAISED,Ticket_1525
Ticket_1526,HAS_PRIORITY,critical
Ticket_1526,SUBMITTED_VIA,phone
Ticket_1526,HAS_STATUS,pending customer response
Ticket_1526,IS_TYPE,technical issue
playstation,RAISED,Ticket_1526
Ticket_1527,HAS_PRIORITY,high
